"ID";"label";"Country";"N";"B_IB";"B_ATT";"B_PBC";"B_PN";"B_SN";"IB_ATT";"IB_PBC";"IB_PN";"IB_SN";"ATT_PBC";"ATT_PN";"ATT_SN";"PBC_PN";"PBC_SN";"PN_SN";"POW";"IC";"MASC";"UA";"LSO";"INDUL";"UA_p";"FUT_p";"POW_p";"inst_p";"HUMAN_p";"PERF_p";"ingr_p";"EGAL_p";"ASSERT_p";"UA_v";"FUT_v";"POW_v";"inst_v";"HUMAN_v";"PERF_v";"ingr_v";"EGAL_v";"ASSERT_v"
"12";12;"Tanner & Kast (2003)";"Switzerland";547;NA;0.362;0.29;0.3;NA;NA;NA;NA;NA;0.292857143;0.448;NA;0.36;NA;NA;34;68;70;58;74;66;5.37;4.73;4.9;4.06;3.6;4.94;3.97;2.97;4.51;3.16;4.79;2.44;4.69;5.54;5.82;4.94;4.92;3.21
"13";13;"Abrahamse & Steg (2009)";"Netherlands";189;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.115;0.28;NA;0.09;NA;NA;38;80;14;53;67;68;4.7;4.61;4.11;4.46;3.86;4.32;3.7;3.5;4.32;3.24;5.07;2.45;4.55;5.2;5.49;5.17;4.99;3.02
"14";14;"Carrico et al (2013)";"USA";194;NA;NA;NA;0.29;0.35;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.18;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"15";15;"Carrus et al (2008)";"Italy";180;NA;NA;NA;NA;NA;0.26;0.5;NA;0.5;0.24;NA;0.27;NA;0.42;NA;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"16";16;"Carrus et al (2008)";"Italy";154;NA;NA;NA;NA;NA;0.35;0.44;NA;0.32;0.16;NA;0.32;NA;0.11;NA;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"17";17;"Fielding & Head (2012)";"Australia";1529;0.59;NA;0.36;NA;0.43;NA;0.4;NA;0.47;NA;NA;NA;NA;0.46;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"18";18;"Fielding & Head (2012)";"Australia";2129;0.63;NA;0.31;NA;0.33;NA;0.34;NA;0.3;NA;NA;NA;NA;0.15;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"19";19;"Fujii (2006)";"Japan";341;NA;NA;NA;NA;NA;NA;0.64;NA;NA;NA;NA;NA;NA;NA;NA;54;46;95;92;88;42;4.07;4.29;5.11;5.19;4.3;4.22;4.63;3.19;3.59;4.33;5.25;2.86;3.99;5.41;5.17;5.26;4.33;5.56
"20";20;"Gardner & Abraham (2010)";"UK";190;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.16;0.55;0.21;0.01;0.17;0.32;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"21";21;"Tarkiainen & Sundqvist (2005)";"Finland";200;0.5905;0.3965;NA;NA;0.284;0.478;NA;NA;0.2495;NA;NA;0.353;NA;NA;NA;33;63;26;59;38;57;5.02;4.24;4.89;4.63;3.96;3.81;4.07;3.35;3.81;3.85;5.07;2.19;4.11;5.81;6.11;5.42;4.24;3.68
"22";22;"Magnusson et al (2003)";"Sweden";1154;0.395;0.375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;71;5;29;53;78;5.32;4.39;4.85;5.22;4.1;3.72;3.66;3.84;3.38;3.6;4.89;2.7;3.94;5.65;5.8;6.04;5.15;3.61
"23";23;"Michaelidou & Nassan (2008)";"UK";222;NA;NA;NA;NA;NA;0.67;NA;0.5;NA;NA;0.49;NA;NA;NA;NA;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"24";24;"Honkanen et al (2006)";"Norway";1283;NA;NA;NA;NA;NA;0.35;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;69;8;50;35;55;5.32;4.39;4.85;5.22;4.1;3.72;3.66;3.84;3.38;3.6;4.89;2.7;3.94;5.65;5.8;6.04;5.15;3.61
"25";25;"Corbett (2005)";"USA";344;NA;NA;NA;NA;NA;NA;0.21;NA;0.52;NA;NA;NA;NA;0.14;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"26";26;"Davis et al (2009)";"Australia";100;NA;0.154;0.253;NA;0.114;NA;NA;NA;NA;0.506;NA;0.324;NA;0.269;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"27";27;"Alniacik & Yilmaz (2012)";"Turkey";180;0.1715;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;37;45;85;46;49;3.63;3.74;5.57;4.03;3.94;3.83;5.88;2.89;4.53;4.67;5.83;2.41;5.26;5.52;5.39;5.77;4.5;2.66
"28";28;"Dean et al (2012)";"UK";499;NA;NA;NA;NA;NA;0.74;0.45;0.73;0.72;0.53;0.8;0.66;0.43;0.36;0.69;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"29";29;"Meinhold & Malkus (2005)";"USA";847;NA;NA;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"30";30;"Cheah & Phau (2011)";"Australia";256;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.341;NA;NA;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"31";31;"Cleveland et al. (2005)";"Canada";907;NA;0.45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39;80;52;48;36;68;4.58;4.44;4.82;4.38;4.49;4.49;4.26;3.7;4.05;3.75;5.35;2.7;4.17;5.64;6.15;5.97;5.11;4.15
"32";32;"Oluyinka (2011)";"Nigeria";1360;NA;0.53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;30;60;55;13;84;4.29;4.09;5.8;4.14;4.1;3.92;5.55;3.01;4.79;5.6;6.04;2.69;5.03;6.09;6.27;5.48;4.24;3.23
"33";33;"Mobley et al (2010)";"USA";5243;NA;0.46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"34";34;"Makki et al (2003)";"Lebanon";660;0.46;0.45;NA;NA;NA;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;40;65;50;14;25;3.82;3.795;5.15;4.245;4.02;3.955;5.29;3.04;4.38;4.525;5.54;2.565;4.765;5.57;5.57;5.76;4.605;3.21
"35";35;"Tuncer et al (2005)";"Turkey";1497;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.681;NA;NA;NA;NA;66;37;45;85;46;49;3.63;3.74;5.57;4.03;3.94;3.83;5.88;2.89;4.53;4.67;5.83;2.41;5.26;5.52;5.39;5.77;4.5;2.66
"36";36;"Negev et al (2008)";"Israel";1783;NA;0.3695;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;54;47;81;38;NA;4.01;3.85;4.73;4.46;4.1;4.08;4.7;3.19;4.23;4.38;5.25;2.72;4.27;5.62;5.75;5.75;4.71;3.76
"37";37;"Negev et al (2008)";"Israel";1524;NA;0.56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;54;47;81;38;NA;4.01;3.85;4.73;4.46;4.1;4.08;4.7;3.19;4.23;4.38;5.25;2.72;4.27;5.62;5.75;5.75;4.71;3.76
"38";38;"Tucker et al (2012)";"USA";420;NA;0.43;0.39;NA;NA;NA;NA;NA;NA;0.38;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"39";39;"Leonidou et al (2010)";"Cyprus";500;0.6;0.53;NA;0.69;NA;0.81;NA;0.72;NA;NA;0.73;NA;NA;NA;NA;60;35;57;112;45;50;3.39;3.4;5.4;3.25;3.34;3.2;5.27;3.48;4.58;5.09;5.19;2.39;5.4;5.23;5.81;5.46;4.89;2.96
"40";40;"Walton et al (2004)";"New Zealand";566;NA;NA;NA;0.188;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;79;58;49;33;75;4.75;3.47;4.89;4.81;4.32;4.72;3.67;3.22;3.42;4.1;5.54;3.53;4.2;4.49;5.9;6.21;4.23;3.54
"41";41;"Bamberg et al (2007)";"Germany";437;0.48;0.12;0.17;0.16;0.03;0.5;0.25;0.29;0.35;0.1;0.62;0.53;0.12;0.12;0.37;35;67;66;65;83;40;5.22;4.27;5.25;3.79;3.18;4.25;4.02;3.1;4.55;3.32;4.85;2.54;4.82;5.46;6.01;5.18;4.89;3.09
"42";42;"Bamberg et al (2007)";"Germany";796;0.75;0.55;0.69;0.6;0.43;0.76;0.91;0.82;0.7;0.69;0.7;0.61;0.75;0.69;0.78;35;67;66;65;83;40;5.22;4.27;5.25;3.79;3.18;4.25;4.02;3.1;4.55;3.32;4.85;2.54;4.82;5.46;6.01;5.18;4.89;3.09
"43";43;"Kaiser (2006)";"Germany";607;NA;NA;NA;NA;NA;0.77;0.56;0.76;0.62;0.46;0.94;0.55;0.49;0.4;0.58;35;67;66;65;83;40;5.22;4.27;5.25;3.79;3.18;4.25;4.02;3.1;4.55;3.32;4.85;2.54;4.82;5.46;6.01;5.18;4.89;3.09
"44";44;"Kaiser (2006)";"Germany";787;NA;NA;NA;NA;NA;0.92;0.86;0.92;0.66;0.78;0.99;0.7;0.78;0.54;0.7;35;67;66;65;83;40;5.16;3.95;5.54;3.56;3.4;4.09;4.52;3.06;4.73;3.94;5.23;2.69;4.68;5.44;6.09;5.22;4.9;3.23
"45";45;"Pakpour et al (2013)";"Iran";1782;0.54;0.47;0.48;0.34;0.54;0.49;0.49;0.37;0.54;0.44;0.41;0.36;0.39;0.52;0.33;58;41;43;59;14;40;3.67;3.7;5.43;3.88;4.23;4.58;6.03;2.99;4.04;5.36;5.84;2.8;5.54;5.61;6.08;5.86;3.75;4.99
"46";46;"Chan & Bishop (2013)";"Australia";271;0.59;0.29;0.49;0.35;0.36;0.41;0.47;0.5;0.44;0.33;0.6;0.29;0.33;0.41;0.38;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"47";47;"Ando et al (2010)";"Germany";942;NA;0.25;0.47;NA;0.26;NA;NA;NA;NA;0.27;NA;0.16;NA;0.26;NA;35;67;66;65;83;40;5.22;4.27;5.25;3.79;3.18;4.25;4.02;3.1;4.55;3.32;4.85;2.54;4.82;5.46;6.01;5.18;4.89;3.09
"48";48;"Ando et al (2010)";"Japan";514;NA;0.24;0.39;NA;0.42;NA;NA;NA;NA;0.31;NA;0.2;NA;0.39;NA;54;46;95;92;88;42;4.07;4.29;5.11;5.19;4.3;4.22;4.63;3.19;3.59;4.33;5.25;2.86;3.99;5.41;5.17;5.26;4.33;5.56
"49";49;"Vermeir & Verbeke (2008)";"Belgium";456;NA;NA;NA;NA;NA;0.666;0.389;NA;0.371;NA;NA;NA;NA;NA;NA;65;75;54;94;82;57;4.96;4.44;4.68;4.125;3.52;4.285;3.86;3.3;4.435;3.28;4.96;2.495;4.685;5.33;5.75;5.175;4.94;3.055
"50";50;"Arvola et al (2008)";"Italy";202;NA;NA;NA;NA;NA;0.72;0.325;0.69;0.63;0.395;0.75;0.725;0.355;0.41;0.685;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"51";51;"Arvola et al (2008)";"Finland";270;NA;NA;NA;NA;NA;0.575;0.205;0.465;0.57;0.125;0.665;0.49;0.105;0.215;0.455;33;63;26;59;38;57;5.02;4.24;4.89;4.63;3.96;3.81;4.07;3.35;3.81;3.85;5.07;2.19;4.11;5.81;6.11;5.42;4.24;3.68
"52";52;"Arvola et al (2008)";"UK";193;NA;NA;NA;NA;NA;0.59;0.26;0.575;0.465;0.33;0.6;0.54;0.195;0.275;0.52;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"53";53;"Knussen et al (2004)";"UK";252;NA;NA;NA;NA;NA;0.43;0.44;NA;0.38;0.24;NA;0.54;NA;0.36;NA;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"54";54;"Mannetti et al (2004)";"Italy";230;NA;NA;NA;NA;NA;0.48;0.5;NA;0.33;0.59;NA;0.27;NA;0.29;NA;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"55";55;"Tonglet et al (2004)";"UK";191;NA;NA;NA;NA;NA;0.507;0.341;0.185;0.259;0.455;0.424;0.433;NA;NA;NA;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"56";56;"Fielding et al (2008)";"Australia";169;NA;NA;NA;NA;NA;0.61;0.37;NA;0.54;0.17;NA;0.52;NA;0.21;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"57";57;"H�bner & Kaiser (2006)";"Netherlands";328;NA;NA;NA;NA;NA;0.87;0.6;0.65;0.41;0.68;0.5;0.37;0.36;0.28;0.47;38;80;14;53;67;68;4.7;4.61;4.11;4.46;3.86;4.32;3.7;3.5;4.32;3.24;5.07;2.45;4.55;5.2;5.49;5.17;4.99;3.02
"58";58;"Th�gersen & �lander (2006)";"Denmark";1520;NA;0.84;0.35;0.89;0.61;NA;NA;NA;NA;0.42;0.96;0.53;0.5;0.27;0.78;18;74;16;23;35;70;5.22;4.44;3.89;4.8;4.44;4.22;3.53;3.93;3.8;3.82;4.33;2.76;4.19;5.45;5.61;5.5;5.08;3.39
"59";59;"Laudenslager et al (2004)";"USA";307;NA;NA;NA;NA;NA;0.493333333;0.04;NA;0.266666667;NA;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"60";60;"Nag (2012)";"USA";511;NA;NA;NA;0.36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"61";61;"Ha & Janda (2012)";"South Korea";202;NA;NA;NA;NA;NA;0.49;NA;0.41;NA;NA;0.35;NA;NA;NA;NA;60;18;39;85;100;29;3.55;3.97;5.61;5.2;3.81;4.55;5.54;2.5;4.4;4.67;5.69;2.55;3.9;5.6;5.25;5.41;4.22;3.75
"62";62;"Malek-Saeidi et al (2012)";"Iran";138;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.46;0.19;NA;NA;0.4;58;41;43;59;14;40;3.67;3.7;5.43;3.88;4.23;4.58;6.03;2.99;4.04;5.36;5.84;2.8;5.54;5.61;6.08;5.86;3.75;4.99
"63";63;"Kl�ckner & Ohms (2009)";"Germany";63;NA;0.349;0.311;0.551;0.3325;NA;NA;NA;NA;0.052;0.402;0.232;0.261;0.06;0.243;35;67;66;65;83;40;5.22;4.27;5.25;3.79;3.18;4.25;4.02;3.1;4.55;3.32;4.85;2.54;4.82;5.46;6.01;5.18;4.89;3.09
"64";64;"Lodorfos & Denis (2008)";"UK";144;NA;NA;NA;NA;NA;0.82;0.486;NA;0.534;0.376;NA;0.437;NA;0.792;NA;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"65";65;"Th�gersen (2008)";"Denmark";1112;NA;NA;NA;NA;0.33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;74;16;23;35;70;5.22;4.44;3.89;4.8;4.44;4.22;3.53;3.93;3.8;3.82;4.33;2.76;4.19;5.45;5.61;5.5;5.08;3.39
"66";66;"Th�gersen (2008)";"Denmark";316;NA;NA;NA;NA;0.38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;74;16;23;35;70;5.22;4.44;3.89;4.8;4.44;4.22;3.53;3.93;3.8;3.82;4.33;2.76;4.19;5.45;5.61;5.5;5.08;3.39
"67";67;"Th�gersen (2008)";"Denmark";279;NA;NA;NA;NA;0.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;74;16;23;35;70;5.22;4.44;3.89;4.8;4.44;4.22;3.53;3.93;3.8;3.82;4.33;2.76;4.19;5.45;5.61;5.5;5.08;3.39
"68";68;"Th�gersen (2009)";"Denmark";200;NA;NA;NA;0.7;0.45;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.55;18;74;16;23;35;70;5.22;4.44;3.89;4.8;4.44;4.22;3.53;3.93;3.8;3.82;4.33;2.76;4.19;5.45;5.61;5.5;5.08;3.39
"69";69;"Th�gersen (2009)";"Denmark";206;NA;NA;NA;0.6;0.34;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.37;18;74;16;23;35;70;5.22;4.44;3.89;4.8;4.44;4.22;3.53;3.93;3.8;3.82;4.33;2.76;4.19;5.45;5.61;5.5;5.08;3.39
"70";70;"Whitmarsh & O'Neill (2010)";"UK";551;0.23;0.123;0.267;0.511;0.162;0.582;0.112;0.303;0.218;-0.033;0.184;0.184;0.164;0.201;0.114;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"71";71;"Jansson et al (2010)";"Sweden";1467;NA;NA;NA;0.4255;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;71;5;29;53;78;5.32;4.39;4.85;5.22;4.1;3.72;3.66;3.84;3.38;3.6;4.89;2.7;3.94;5.65;5.8;6.04;5.15;3.61
"72";72;"Kl�ckner & Blobaum (2010)";"Germany";389;0.686;NA;0.723;0.155;NA;NA;0.694;0.341;NA;NA;NA;NA;0.148;NA;NA;35;67;66;65;83;40;5.22;4.27;5.25;3.79;3.18;4.25;4.02;3.1;4.55;3.32;4.85;2.54;4.82;5.46;6.01;5.18;4.89;3.09
"73";73;"Kl�ckner & Matthies (2004)";"Germany";160;NA;NA;NA;0.35;0.265;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.48;35;67;66;65;83;40;5.22;4.27;5.25;3.79;3.18;4.25;4.02;3.1;4.55;3.32;4.85;2.54;4.82;5.46;6.01;5.18;4.89;3.09
"74";74;"Soyez (2012)";"USA";169;0.807;0.751;NA;NA;0.684;0.849;NA;NA;0.788;NA;NA;0.849;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"75";75;"Soyez (2012)";"Canada";283;0.638;0.602;NA;NA;0.427;0.82;NA;NA;0.726;NA;NA;0.745;NA;NA;NA;39;80;52;48;36;68;4.58;4.44;4.82;4.38;4.49;4.49;4.26;3.7;4.05;3.75;5.35;2.7;4.17;5.64;6.15;5.97;5.11;4.15
"76";76;"Soyez (2012)";"Australia";214;0.531;0.453;NA;NA;0.465;0.631;NA;NA;0.67;NA;NA;0.642;NA;NA;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"77";77;"Soyez (2012)";"Germany";226;0.715;0.553;NA;NA;0.553;0.676;NA;NA;0.605;NA;NA;0.548;NA;NA;NA;35;67;66;65;83;40;5.19;4.11;5.395;3.675;3.29;4.17;4.27;3.08;4.64;3.63;5.04;2.615;4.75;5.45;6.05;5.2;4.895;3.16
"78";78;"Soyez (2012)";"Russia";204;0.674;0.557;NA;NA;0.486;0.707;NA;NA;0.718;NA;NA;0.641;NA;NA;NA;93;39;36;95;81;20;2.88;2.88;5.52;4.5;3.94;3.39;5.63;4.07;3.68;5.07;5.48;2.62;3.89;5.59;5.54;5.79;4.18;2.83
"79";79;"Urban (2012)";"Czech Republic";252;NA;NA;NA;NA;NA;0.668194;0.323845;NA;0.71763;NA;NA;NA;NA;NA;NA;57;58;57;74;70;29;4.44;3.63;3.59;3.6;4.17;4.11;3.18;3.79;3.69;3.64;2.95;4.35;3.85;3.39;2.35;4.06;3.78;4.14
"80";80;"Cho et al (2013)";"South Korea";327;NA;NA;NA;NA;NA;0.387;0.241;NA;NA;0.238;NA;NA;NA;NA;NA;60;18;39;85;100;29;3.55;3.97;5.61;5.2;3.81;4.55;5.54;2.5;4.4;4.67;5.69;2.55;3.9;5.6;5.25;5.41;4.22;3.75
"81";81;"Cho et al (2013)";"USA";399;NA;NA;NA;NA;NA;0.592;0.038;NA;NA;0.319;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"82";82;"Albayrak (2012)";"Turkey";1309;NA;NA;NA;NA;NA;0.309;0.274;NA;0.387;0.303;NA;0.514;NA;0.256;NA;66;37;45;85;46;49;3.63;3.74;5.57;4.03;3.94;3.83;5.88;2.89;4.53;4.67;5.83;2.41;5.26;5.52;5.39;5.77;4.5;2.66
"83";83;"Chou et al (2012)";"Taiwan";245;NA;NA;NA;NA;NA;0.392;0.472;NA;NA;0.41;NA;NA;NA;NA;NA;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
